industry,name,quoteType,sector,symbol
Drug Manufacturers—Specialty & Generic,"Evolus, Inc. Common Stock",EQUITY,Healthcare,EOLS
Oil & Gas Equipment & Services,"Select Energy Services, Inc.",EQUITY,Energy,WTTR
Apparel Retail,Duluth Holdings Inc.,EQUITY,Consumer Cyclical,DLTH
Drug Manufacturers—General,"Clarus Therapeutics Holdings, I",EQUITY,Healthcare,CRXT
Information Technology Services,Paysafe Limited,EQUITY,Technology,PSFE
Healthcare Plans,"Clover Health Investments, Corp",EQUITY,Healthcare,CLOV
Oil & Gas Equipment & Services,"Profire Energy, Inc.",EQUITY,Energy,PFIE
Entertainment,"Charter Communications, Inc.",EQUITY,Communication Services,CHTR
Trucking,ArcBest Corporation,EQUITY,Industrials,ARCB
Asset Management,TriplePoint Venture Growth BDC ,EQUITY,Financial Services,TPVG
Apparel Manufacturing,"G-III Apparel Group, LTD.",EQUITY,Consumer Cyclical,GIII
Asset Management,Main Street Capital Corporation,EQUITY,Financial Services,MAIN
Semiconductor Equipment & Materials,"Ultra Clean Holdings, Inc.",EQUITY,Technology,UCTT
Drug Manufacturers—Specialty & Generic,ELITE PHARMACEUTICALS INC,EQUITY,Healthcare,ELTP
Biotechnology,"Baudax Bio, Inc.",EQUITY,Healthcare,BXRX
Health Information Services,"Teladoc Health, Inc.",EQUITY,Healthcare,TDOC
Software—Infrastructure,Safe-T Group Ltd.,EQUITY,Technology,SFET
Software—Application,Jamf Holding Corp.,EQUITY,Technology,JAMF
Biotechnology,ObsEva SA,EQUITY,Healthcare,OBSV
Marine Shipping,Euroseas Ltd.,EQUITY,Industrials,ESEA
Biotechnology,"Advaxis, Inc.",EQUITY,Healthcare,ADXS
Biotechnology,"BridgeBio Pharma, Inc.",EQUITY,Healthcare,BBIO
Beverages—Brewers,"Splash Beverage Group, Inc. (NV",EQUITY,Consumer Defensive,SBEV
Farm & Heavy Construction Machinery,"Ideanomics, Inc.",EQUITY,Industrials,IDEX
Medical Care Facilities,Field Trip Health Ltd.,EQUITY,Healthcare,FTRP
Oil & Gas Refining & Marketing,HF Sinclair Corporation,EQUITY,Energy,DINO
Biotechnology,IMARA Inc.,EQUITY,Healthcare,IMRA
Aerospace & Defense,Astrotech Corporation,EQUITY,Industrials,ASTC
Chemicals,BOON INDS INC,EQUITY,Basic Materials,BNOW
Shell Companies,CGS INTERNATIONAL INC (US),EQUITY,Financial Services,CGSI
Biotechnology,Gamida Cell Ltd.,EQUITY,Healthcare,GMDA
Packaged Foods,"Sanderson Farms, Inc.",EQUITY,Consumer Defensive,SAFM
Software—Infrastructure,Bandwidth Inc.,EQUITY,Technology,BAND
Other Industrial Metals & Mining,Sierra Metals Inc.,EQUITY,Basic Materials,SMTS
Software—Application,Cazoo Group Ltd,EQUITY,Technology,CZOO
Auto Parts,Hyliion Holdings Corp.,EQUITY,Consumer Cyclical,HYLN
Oil & Gas Equipment & Services,Geospace Technologies Corporati,EQUITY,Energy,GEOS
Communication Equipment,"Siyata Mobile, Inc.",EQUITY,Technology,SYTA
Communication Equipment,Ericsson,EQUITY,Technology,ERIC
Medical Care Facilities,InnovAge Holding Corp.,EQUITY,Healthcare,INNV
Uranium,Uranium Royalty Corp.,EQUITY,Energy,UROY
Airports & Air Services,"Joby Aviation, Inc.",EQUITY,Industrials,JOBY
Diagnostics & Research,Invitae Corporation,EQUITY,Healthcare,NVTA
Biotechnology,"Apellis Pharmaceuticals, Inc.",EQUITY,Healthcare,APLS
Specialty Business Services,Performant Financial Corporatio,EQUITY,Industrials,PFMT
Apparel Retail,"Boot Barn Holdings, Inc.",EQUITY,Consumer Cyclical,BOOT
Medical Care Facilities,"Talkspace, Inc.",EQUITY,Healthcare,TALK
Auto Parts,Holley Inc.,EQUITY,Consumer Cyclical,HLLY
Semiconductors,PARKERVISION INC,EQUITY,Technology,PRKR
Biotechnology,"PLUS THERAPEUTICS, Inc.",EQUITY,Healthcare,PSTV
Biotechnology,"Vaxart, Inc. - Common Stock",EQUITY,Healthcare,VXRT
Specialty Chemicals,"Danimer Scientific, Inc.",EQUITY,Basic Materials,DNMR
Communication Equipment,"Juniper Networks, Inc.",EQUITY,Technology,JNPR
Specialty Industrial Machinery,"TPI Composites, Inc.",EQUITY,Industrials,TPIC
Biotechnology,Incyte Corporation,EQUITY,Healthcare,INCY
Drug Manufacturers—Specialty & Generic,"Supernus Pharmaceuticals, Inc.",EQUITY,Healthcare,SUPN
Utilities—Regulated Water,"Essential Utilities, Inc.",EQUITY,Utilities,WTRG
